Year,Population requiring PC for LF,Type of MDA,Number of IUs covered,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode,GDP_per_capita,HealthExp_per_capita,Pct_with_improved_sanitation,GDP_lag1,Sanitation_lag1,Urban_Pop_Pct,ODA_per_capita
2018,7480197.0,IVM + ALB,24.0,5907574.0,78.97618204440337,78.97618204440337,GIN,933.273615633705,35.30637741,26.4315350914217,833.598621691121,25.2793160046836,36.14,653989990.234375
2018,19637679.0,DEC + ALB,61.0,0.0,0.0,0.0,MDG,500.45718552916,21.67276382,12.6470453599113,491.866848718929,12.1276031211704,37.191,755010009.765625
2018,1398027.0,IVM + ALB,15.0,1197487.0,99.58676242623432,85.65549878507353,BEN,1151.74096952152,34.44770432,17.9998030901084,1054.97408141687,17.3806539321045,47.312,574679992.675781
2018,1621568.0,IVM + ALB,18.0,931628.0,57.45229308915815,57.45229308915815,CMR,1610.69641591017,57.7002182,42.1505011655075,1496.08951771242,41.9013320538743,56.374,1165349975.58594
2018,48034532.0,IVM + ALB,182.0,28383005.0,95.48828625334332,76.64389235644057,COD,528.256019777898,17.87852287,16.7256344876716,436.584534687385,17.0428366780056,44.46,2513899902.34375
2018,3955338.0,IVM + ALB,1.0,29712.0,53.72292337178606,0.75118738272178,AGO,2538.59139143371,83.89920044,51.120743995819,2437.25971190821,49.8769829625562,65.514,162639999.389648
2018,828148.0,DEC + ALB,0.0,0.0,0.0,0.0,COM,1540.71132257526,74.43584442,35.8804627544981,1423.9248027797,35.8566241481776,28.965,90930000.3051758
2018,7677570.0,DEC + ALB,0.0,0.0,0.0,0.0,ZWE,2271.8533351306,114.63294983,36.3571601293685,3448.08253696926,36.9416742711943,32.209,794559997.558594
2018,9986963.0,IVM + ALB,24.0,9108052.0,91.19941667952509,91.19941667952509,TZA,1023.10626220703,40.83135605,27.9447655542304,986.674011230469,26.7829708869529,33.776,2455199951.17188
2018,48034532.0,2 * ALB,52.0,8432529.96882094,94.38077266453767,76.64389235644057,COD,528.256019777898,17.87852287,16.7256344876716,528.256019777898,16.7256344876716,44.46,2513899902.34375
2018,201784.0,DEC + ALB,7.0,162512.0,80.53760456726003,80.53760456726003,STP,1825.59971753966,108.28024292,43.7951971255154,1555.79477812888,42.4688370821768,72.803,52180000.3051758
2018,8985524.0,IVM + ALB,17.0,6602315.0,73.47723961340485,73.47723961340485,NER,578.568035680892,30.08619118,14.2977760229761,521.804130023434,13.8105659838816,16.425,1308500000.0
2018,6070736.023130594,IVM + ALB,59.0,4154844.0,94.08837168605947,68.44053149682837,ETH,747.968143637014,23.84538269,8.34992303821713,745.632449222154,8.0471575170489,20.763,4940959960.9375
2018,420000.0,IVM + ALB,15.0,0.0,0.0,0.0,GNQ,8102.47084834031,248.69200134,66.3127923585184,7809.10465655488,66.3127923585184,72.143,6719999.79019165
2018,20261154.0,IVM + ALB,114.0,16502496.0,81.4489441223338,81.4489441223338,MOZ,517.507260258101,40.8117218,31.9467194446126,470.93856305196,30.560328246432,35.988,1823560058.59375
2018,9061189.0,IVM + ALB,47.0,5588601.0,75.64856115341632,61.67624359231443,SEN,1452.55612562445,65.77828217,55.9960419566084,1356.80518449031,54.9398686162857,47.192,999020019.53125
2018,1307552.0,IVM + ALB,15.0,938015.0,83.22302171039206,71.7382559163995,GHA,2196.61290615342,82.98774719,23.8263073809595,2012.97025750655,22.670108563914,56.06,1067619995.11719
2018,14989401.0,IVM + ALB,26.0,10797082.0,79.82341397984595,20.98448792170369,MWI,533.203173686705,36.97562408,40.6356736680772,495.769683367165,38.4570669671792,16.937,1279300048.82813
2018,2713101.0,IVM + ALB,4.0,1640073.0,87.83981515897763,60.45012699490362,SLE,845.914540460932,43.07834244,19.20548437001,788.486867334833,18.3338581421542,42.055,508149993.896484
2018,970242.0,IVM + ALB,12.0,665975.0,68.64009185337267,68.64009185337267,MLI,835.086710561793,31.96352005,43.0319385671456,775.536492065709,41.2864018368594,42.356,1556930053.71094
2018,2288222.0,IVM + ALB,10.0,1749542.0,76.4585778827404,76.4585778827404,BFA,777.465618514048,39.00283813,22.3095685822615,709.091535894695,21.7779198987319,29.358,1187560058.59375
2018,71584.0,DEC + ALB,2.0,62777.0,87.6969713902548,87.6969713902548,ERI,688.68165957684,24.02440262,11.9399656246299,688.68165957684,11.9399656246299,40.08,84239997.8637695
2018,21002613.0,IVM + ALB,74.0,15581091.0,74.18644051575868,74.18644051575868,CIV,2130.86619381144,70.97071075,33.9428009638578,1964.29930338343,33.115740904564,50.779,960070007.324219
2018,12032435.0,DEC + ALB,69.0,11164092.0,101.59686126163808,92.78331443303038,ZMB,1463.89997855593,70.36667633,34.7220691917255,1483.46577328065,33.9717571756978,43.521,1000320007.32422
2018,4527450.0,IVM + ALB,30.0,3377900.0,82.18500835864283,74.60932754641134,TCD,695.642393675941,32.30886459,12.054119739418,640.117048532702,11.8291927798898,23.059,875299987.792969
2018,1076864.0,IVM + ALB,79.0,701302.0,65.12447254249376,65.12447254249376,GNB,808.531613218504,58.78644943,23.6322998602978,783.123186602022,22.3015666963327,43.36,153600006.103516
2018,2888338.0,IVM + ALB,13.0,1960888.0,67.8898383776414,67.8898383776414,LBR,692.203127129794,69.10813904,20.1920909965308,699.269095727404,19.6309444395375,51.151,593950012.207031
2018,3300000.0,IVM + ALB,1.0,101806.0,84.31697338125922,30.661151515151516,CAF,455.243962859534,49.17564392,14.847835432135,432.324025684263,15.2164875035595,41.364,641049987.792969
2018,3300000.0,1 * ALB,4.0,910012.0,88.69884410360278,30.661151515151516,CAF,455.243962859534,49.17564392,14.847835432135,455.243962859534,14.847835432135,41.364,641049987.792969
2018,3983268.0,DEC + ALB,23.0,3465107.0,86.99156069840141,86.99156069840141,KEN,1836.45275528993,75.6592865,34.8906417362588,1667.48447230835,34.4882040042741,27.03,2491010009.76563
2018,5904795.0,IVM + ALB,5.0,1035785.0,99.65076509382682,17.54142184445015,SSD,1080.14718624765,30.23945427,14.4506357443147,1080.14718624765,13.2107250437217,19.615,1577500000.0
2018,131361930.0,IVM + ALB,510.0,84911508.0,90.25053181341708,64.63935784134719,NGA,2057.87944554011,65.70272064,42.2262606432937,1876.34027111773,41.1997191095263,50.344,3303270019.53125
2018,1975991.0,IVM + ALB,6.0,1570427.0,79.47541259044196,79.47541259044196,UGA,792.16570022814,32.99159622,20.2039464819127,765.218332297361,19.9987800028527,23.774,1945589965.82031
2019,8815619.0,IVM + ALB,44.0,6007315.0,88.71439832876568,68.14399533373663,SEN,1431.18128932159,65.75260925,57.0490341820529,1452.55612562445,55.9960419566084,47.653,1438099975.58594
2019,7677570.0,DEC + ALB,0.0,0.0,0.0,0.0,ZWE,1684.02790388182,54.80850601,35.7743358079873,2271.8533351306,36.3571601293685,32.21,844090026.855469
2019,134545208.0,IVM + ALB,506.0,82992655.0,87.04349016805013,61.68384309904222,NGA,2265.15520863056,69.68148041,43.27675278374,2057.87944554011,42.2262606432937,51.157,3275409912.10938
2019,12032435.0,DEC + ALB,0.0,0.0,0.0,0.0,ZMB,1258.98619844462,85.64040375,35.4594671468657,1463.89997855593,34.7220691917255,44.072,947840026.855469
2019,2942778.0,IVM + ALB,5.0,2240077.0,91.7122414438286,76.12116850132765,SLE,843.71251730417,46.25284195,20.0997387688789,845.914540460932,19.20548437001,42.484,566239990.234375
2019,2040460.0,IVM + ALB,6.0,1593787.0,78.10920086647128,78.10920086647128,UGA,822.057058189153,33.40487289,20.4080904532095,792.16570022814,20.2039464819127,24.361,2029569946.28906
2019,8472338.0,IVM + ALB,14.0,1418015.0,87.97626522257907,16.736997508834044,SSD,1080.14718624765,34.9889183,15.747277681583,1080.14718624765,14.4506357443147,19.899,1676640014.64844
2019,7954815.0,IVM + ALB,9.0,1161582.0,102.6665794600022,14.602250335174356,TZA,1063.32250976563,39.5618248,29.099388976813,1023.10626220703,27.9447655542304,34.5,2125929931.64063
2019,201114.0,IVM + DEC + ALB,7.0,144527.0,71.86322185427171,71.86322185427171,STP,1935.2931816596,106.26776123,45.1201003296246,1825.59971753966,43.7951971255154,73.598,50830001.8310547
2019,1844198.0,IVM + ALB,33.0,339446.0,74.5,18.41,GNB,807.359903965493,54.0177002,24.9811064482039,808.531613218504,23.6322998602978,43.777,112790000.915527
2019,72999.0,DEC + ALB,2.0,62548.0,85.68336552555515,85.68336552555515,ERI,688.68165957684,25.98394394,11.9399656246299,688.68165957684,11.9399656246299,40.712,265950012.207031
2019,46051090.0,2 * ALB,63.0,9452023.0,97.57342945304404,80.17999999999999,COD,557.044161335917,19.85771751,16.4166624601584,528.256019777898,16.7256344876716,45.046,2809199951.17188
2019,2114837.0,IVM + ALB,9.0,1696518.0,80.21979944553647,80.21979944553647,BFA,764.853077774946,41.07073212,22.8240692453658,777.465618514048,22.3095685822615,29.98,1107790039.0625
2019,21125734.0,DEC + ALB,18.0,3129919.0,84.64383225267676,14.815669836607809,MDG,499.818837622534,15.88729572,13.1693371507898,500.45718552916,12.6470453599113,37.861,732309997.558594
2019,1031260.0,2 * ALB,7.0,411744.0,85.36225844772146,51.60501910284506,COG,2488.42466724916,58.90272522,20.3642631107744,2694.43413191427,20.2685712894315,67.373,176669998.168945
2019,1031260.0,IVM + ALB,6.0,120438.0,21.94126188034125,51.60501910284506,COG,2488.42466724916,58.90272522,20.3642631107744,2488.42466724916,20.3642631107744,67.373,176669998.168945
2019,420000.0,IVM + ALB,15.0,0.0,0.0,0.0,GNQ,6804.14923073888,231.83953857,66.3127923585184,8102.47084834031,66.3127923585184,72.627,62750000.0
2019,4102765.525000001,IVM + DEC + ALB,3.0,288961.0,100.80972648618476,92.98593782056312,KEN,1960.40808854893,86.06783295,35.2957947881613,1836.45275528993,34.8906417362588,27.507,3171919921.875
2019,296128.0,IVM + ALB,4.0,251369.0,84.88525232331965,84.88525232331965,BEN,1130.82135304977,29.37922096,18.6298545928192,1151.74096952152,17.9998030901084,47.861,593159973.144531
2019,4102765.525000001,DEC + ALB,20.0,3526034.0,92.39825938661356,92.98593782056312,KEN,1960.40808854893,86.06783295,35.2957947881613,1960.40808854893,35.2957947881613,27.507,3171919921.875
2019,4442824.764846294,IVM + ALB,8.0,782984.0,89.95954335891543,53.8265151515152,CAF,449.228467602439,33.9444313,14.4819824288711,455.243962859534,14.847835432135,41.77,676419982.910156
2019,4442824.764846294,1 * ALB,9.0,993291.0,82.87687920207858,53.8265151515152,CAF,449.228467602439,33.9444313,14.4819824288711,449.228467602439,14.4819824288711,41.77,676419982.910156
2019,7480197.0,IVM + ALB,0.0,0.0,0.0,0.0,GIN,1031.34146480732,42.68258667,27.606397594017,933.273615633705,26.4315350914217,36.5,562080017.089844
2019,788813.0,DEC + ALB,17.0,502859.0,63.74882259800485,63.74882259800485,COM,1519.26386436068,77.80075073,35.9066757549833,1540.71132257526,35.8804627544981,29.164,73529998.7792969
2019,5919602.944410031,IVM + ALB,43.0,2880331.0,96.68121988011583,48.657503333394,ETH,828.70897229725,26.22917175,8.65203916056794,747.968143637014,8.34992303821713,21.225,4676649902.34375
2019,1349658.0,IVM + ALB,15.0,979438.0,72.56934719758635,72.56934719758635,GHA,2186.18924111824,93.18772125,24.9960729195517,2196.61290615342,23.8263073809595,56.707,910989990.234375
2019,58244.0,IVM + ALB,1.0,19060.0,32.72440079664858,32.72440079664858,CMR,1555.22660476477,56.18640518,42.4008580058119,1610.69641591017,42.1505011655075,56.968,1297489990.23438
2019,14989401.0,IVM + ALB,26.0,10797082.0,79.82341397984595,20.98448792170369,MWI,580.889816066776,41.78248596,42.8038378125311,533.203173686705,40.6356736680772,17.174,1167609985.35156
2019,2963868.0,IVM + ALB,13.0,2496344.0,84.22588320397534,84.22588320397534,LBR,658.164180770507,52.02645493,20.7619736101479,692.203127129794,20.1920909965308,51.615,581219970.703125
2019,1004177.0,IVM + ALB,0.0,0.0,0.0,0.0,MLI,820.197390833912,32.17400742,44.7976967244774,835.086710561793,43.0319385671456,43.136,1815849975.58594
2019,6676439.0,IVM + ALB,13.0,4327341.0,95.67683984866252,64.8151057771965,NER,561.691304349698,31.21994209,14.7900382805354,578.568035680892,14.2977760229761,16.517,1439520019.53125
2019,21713670.0,IVM + ALB,74.0,15999219.0,73.68270310822629,73.68270310822629,CIV,2141.76836170115,73.64801788,34.7779674572536,2130.86619381144,33.9428009638578,51.239,1173609985.35156
2019,2394346.773,IVM + ALB,2.0,263549.0,49.27079691680112,11.00713576545915,AGO,2189.85571407618,64.65779114,51.3936226824603,2538.59139143371,51.120743995819,66.177,20920000.0762939
2019,46051090.0,IVM + ALB,182.0,27494725.0,99.56692391004724,80.17999999999999,COD,557.044161335917,19.85771751,16.4166624601584,557.044161335917,16.4166624601584,45.046,2809199951.17188
2019,18059542.0215538,IVM + ALB,60.0,8781876.0,95.4071488580042,48.62734608396471,MOZ,519.09255091362,40.41284943,33.350311214661,517.507260258101,31.9467194446126,36.528,1841430053.71094
2019,5124862.0,IVM + ALB,32.0,3653785.0,71.29528560964178,71.29528560964178,TCD,678.142035723965,31.30481529,12.2940188961564,695.642393675941,12.054119739418,23.279,641919982.910156
2020,1892353.0,IVM + ALB,44.0,415475.0,85.0007160539291,21.96,GNB,817.780335749159,68.04572296,26.3482236537259,807.359903965493,24.9811064482039,44.196,147570007.324219
2020,72483.0,DEC + ALB,1.0,36645.0,87.6695614727625,50.55668225652912,ERI,688.68165957684,24.70353127,11.9399656246299,688.68165957684,11.9399656246299,41.347,61310001.373291
2020,19098527.26297629,IVM + ALB,94.0,14646173.0,76.8966191088624,76.6874467666149,MOZ,462.433876479921,34.37060928,34.7705804730804,519.09255091362,33.350311214661,37.074,2556260009.76563
2020,21966154.0,IVM + ALB,62.0,10564594.0,89.3478850673945,48.094873595077225,CIV,2179.72934832935,85.17427826,35.6210684573158,2141.76836170115,34.7779674572536,51.706,1562640014.64844
2020,8180532.0,IVM + ALB,23.0,5228298.0,83.27,63.91146688259395,GIN,1053.66097696415,41.6195488,28.8045337728005,1031.34146480732,27.606397594017,36.875,725789978.027344
2020,8029929.0,DEC + ALB,0.0,0.0,0.0,0.0,ZWE,1730.41348946953,50.67650986,35.1923618234591,1684.02790388182,35.7743358079873,32.242,985049987.792969
2020,400225.0,DEC + ALB,7.0,199102.0,49.74751702167531,49.74751702167531,COM,1527.16991011916,88.67053223,35.9066757549833,1519.26386436068,35.9066757549833,29.38,132179992.675781
2020,1004177.0,IVM + ALB,59.0,0.0,0.0,0.0,MLI,804.343956745857,28.85294724,46.5825895523924,820.197390833912,44.7976967244774,43.909,1566199951.17188
2020,315128.0,IVM + ALB,4.0,262386.0,83.26330887766241,83.26330887766241,BEN,1197.50136428063,30.64243507,19.2707223290055,1130.82135304977,18.6298545928192,48.415,1049569946.28906
2020,1349658.0,IVM + ALB,0.0,0.0,0.0,0.0,GHA,2196.54789313621,87.4445343,26.179198602453,2186.18924111824,24.9960729195517,57.349,2204360107.42188
2020,4134781.0,IVM + ALB,11.0,3230756.0,78.13608507923394,78.13608507923394,NER,579.512495758236,34.85019302,15.2880774887646,561.691304349698,14.7900382805354,16.626,1929790039.0625
