Year,Population requiring PC for LF,Mapping status,Type of MDA,Current status of MDA,Number of IUs covered,Geographical coverage (%),Total population of IUs,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode
2009,15538610.0,Completed,IVM + ALB,Ongoing,18,16.8,2240497,1607688,71.75586488176508,10.346408076398083,MOZ
2009,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2009,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2009,13264445.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,UGA
2009,5314600.0,Completed,IVM + ALB,Ongoing,7,21.21212121212121,617065,412461,66.84239099608631,7.760903925036692,SEN
2009,49140000.0,In progress,Not started,Not started,,,,,,,COD
2009,3600000.0,In progress,IVM + ALB,Not started,,,,,,,LBR
2009,3031878.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2009,,Completed,,Not required MDA,,,,,,,SYC
2009,1311741.0,Completed,IVM + ALB,Not started,,,,,,,GNB
2009,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2009,1191720.0,Completed,IVM + ALB,Ongoing,2,100,399230,329660,82.57395486311148,27.66253818010942,TGO
2009,5319758.0,Completed,IVM + ALB,Ongoing,12,85.7,4694711,3476726,74.05623051131369,65.35496539504241,SLE
2009,6067135.0,Completed,IVM + ALB,Not started,,,,,,,GIN
2009,3577000.0,Not started,DEC + ALB,Not started,,,,,,,ERI
2009,11587953.0,Completed,IVM + ALB,Ongoing,74,100,9627213,7204038,74.82994299596363,62.16833982671487,GHA
2009,17948748.0,Completed,DEC + ALB,Ongoing,30,30.612244897959183,6760952,5046639,74.64391109417727,28.116941638491998,MDG
2009,14000000.0,In progress,IVM + ALB,Ongoing,3,No data,1159593,914720,78.88284941354424,6.533714285714286,CIV
2009,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2009,30000000.0,In progress,IVM + ALB,Ongoing,5,No data,99037,77442,78.19501802356696,0.25814000000000004,ETH
2009,37369939.0,Completed,IVM + ALB,Ongoing,23,20,6002837,4396112,73.23390590149292,11.763765522871203,TZA
2009,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
2009,,Completed,,Not required MDA,,,,,,,CPV
2009,14305000.0,In progress,IVM + ALB,Ongoing,9,No data,825783,616160,74.61524395634204,4.307305138063614,CMR
2009,15411849.0,Completed,IVM + ALB,Ongoing,63,100,15411849,12326907,79.98331024395581,79.98331024395581,BFA
2009,7270000.0,Not started,IVM + ALB,Not started,,,,,,,TCD
2009,8780000.0,In progress,DEC + ALB,Not started,,,,,,,ZMB
2009,,Completed,,Not required MDA,,,,,,,BDI
2009,5282204.0,Completed,IVM + ALB,Ongoing,16,32,1068220,908775,85.0737675759675,17.204466166017063,BEN
2009,3300000.0,In progress,IVM + ALB,Not started,,,,,,,CAF
2010,30000000.0,In progress,IVM + ALB,Ongoing,5,No data,101013,73435,72.69856355122609,0.24478333333333335,ETH
2010,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2010,16819434.0,In progress,IVM + ALB,Ongoing,43,No data,5264142,3676469,69.83985234440864,21.858458495095615,CMR
2010,3300000.0,In progress,IVM + ALB,Ongoing,2,11.76470588235294,405311,193919,47.84449472133744,5.876333333333333,CAF
2010,3577000.0,Not started,DEC + ALB,Not started,,,,,,,ERI
2010,,,,Surveillance,,,,,,,TGO
2010,,,,Classified as non-endemic,,,,,,,CPV
2010,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2010,,,,Classified as non-endemic,,,,,,,BDI
2010,8780000.0,In progress,DEC + ALB,Not started,,,,,,,ZMB
2010,11925399.0,Completed,IVM + ALB,Ongoing,69,93.2,9966010,7491873,75.17424726645869,62.82282882107341,GHA
2010,49140000.0,In progress,Not started,Not started,,,,,,,COD
2010,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2010,6127337.0,Completed,IVM + ALB,Ongoing,14,100,6127337,4760021,77.68498778506878,77.68498778506878,SLE
2010,1311741.0,Completed,IVM + ALB,Not started,,,,,,,GNB
2010,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2010,88966825.0,In progress,IVM + ALB,Ongoing,103,No data,21432345,10489790,48.94373434171575,11.790675906440406,NGA
2010,11465194.0,Completed,IVM + ALB,Ongoing,29,100,10727330,7802679,72.73644979692058,68.05535955170056,NER
2010,17118460.0,Completed,IVM + ALB,Ongoing,37,35.9,5029795,3739881,74.35454128846204,21.84706451398081,MOZ
2010,,,,Classified as non-endemic,,,,,,,MUS
2010,,,,Classified as non-endemic,,,,,,,RWA
2010,410000.0,Completed,DEC + ALB,Not started,,,,,,,STP
2010,15039794.0,Completed,IVM + ALB,Ongoing,59,100,11848053,10046835,84.79735024818001,66.80167959747321,MLI
2010,5282204.0,Completed,IVM + ALB,Ongoing,16,32,1105375,946317,85.61049417618455,17.91519221900555,BEN
2010,13065294.0,Completed,IVM + ALB,Ongoing,27,100,13065294,10797082,82.63941094628258,82.63941094628258,MWI
2010,18602379.0,Completed,DEC + ALB,Ongoing,49,49,10355365,6868762,66.33046734711911,36.92410524481842,MDG
2010,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
2010,5314600.0,Completed,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,SEN
2010,3600000.0,In progress,IVM + ALB,Not started,,,,,,,LBR
2010,15411849.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,BFA
2010,3031878.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2010,,,,Classified as non-endemic,,,,,,,SYC
2010,6067135.0,Completed,IVM + ALB,Not started,,,,,,,GIN
2010,14704200.0,Completed,IVM + ALB,Ongoing,38,98.7,12679778,9183256,72.42442257269805,62.45328545585615,UGA
2010,37369939.0,Completed,IVM + ALB,Ongoing,22,19.1,6094422,4465654,73.27444669896505,11.949856273514389,TZA
2010,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2010,7270000.0,Not started,IVM + ALB,Not started,,,,,,,TCD
2010,2600000.0,Completed,Not started,Not started,,,,,,,COG
2010,14000000.0,In progress,IVM + ALB,Ongoing,13,No data,7808346,2458436,31.484721604293664,17.560257142857143,CIV
2011,12150323.0,Completed,IVM + ALB,Ongoing,70,94.6,10518427,7761897,73.79332480037176,63.88222765765157,GHA
2011,1582496.0,Completed,IVM + ALB,Ongoing,33,28.4,357933,264712,73.95574032011577,16.727498837279843,GNB
2011,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2011,16166882.0,Completed,IVM + ALB,Ongoing,60,100,14940147,11926872,79.83102174295875,73.77348334700532,MLI
2011,,,,Surveillance,,,,,,,TGO
2011,5812099.0,Completed,IVM + ALB,Ongoing,14,28.000000000000004,630963,531313,84.20668089887997,9.141499482372891,BEN
2011,16673025.0,In progress,IVM + ALB,Ongoing,125,No data,10184974,7943616,77.99348334124367,47.643519997121096,CMR
2011,3300000.0,In progress,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,CAF
2011,3577000.0,Not started,DEC + ALB,Not started,,,,,,,ERI
2011,7270000.0,Not started,IVM + ALB,Not started,,,,,,,TCD
2011,14104061.0,Completed,IVM + ALB,Ongoing,26,100,14104061,11258343,79.82341397984595,79.82341397984595,MWI
2011,8780000.0,In progress,DEC + ALB,Not started,,,,,,,ZMB
2011,2600000.0,Completed,Not started,Not started,,,,,,,COG
2011,30000000.0,In progress,IVM + ALB,Ongoing,5,No data,103896,84929,81.74424424424424,0.28309666666666666,ETH
2011,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2011,16570898.0,Completed,IVM + ALB,Ongoing,63,100,15774982,12825582,81.30330671692684,77.39823152613697,BFA
2011,18602379.0,Completed,DEC + ALB,No data,No data,No data,No data,No data,No data,No data,MDG
2011,3421741.0,Completed,DEC + ALB,Ongoing,9,75,2162217,1259903,58.26903590157695,36.82052499005623,KEN
2011,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
2011,5314600.0,Completed,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,SEN
2011,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2011,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2011,410000.0,Completed,DEC + ALB,Not started,,,,,,,STP
2011,3600000.0,In progress,IVM + ALB,Not started,,,,,,,LBR
2011,14203400.0,Completed,IVM + ALB,Ongoing,53,98.14814814814815,13744409,8766071,63.77917740951975,61.71811678893786,UGA
2011,17114949.0,Completed,IVM + ALB,Ongoing,65,63.10679611650486,10449220,8496428,81.31160029169642,49.643314741983744,MOZ
2011,106124877.0,In progress,IVM + ALB,Ongoing,185,No data,34438513,19887248,57.74711585253405,18.73947802078489,NGA
2011,14000000.0,In progress,No MDA,No MDA,0,0,0,0,0,0,CIV
2011,11605401.0,Completed,IVM + ALB,Ongoing,30,100,11605400,7394521,63.71620969548658,63.716204205266145,NER
2011,6067135.0,Completed,IVM + ALB,Not started,,,,,,,GIN
2011,49140000.0,In progress,Not started,Not started,,,,,,,COD
2011,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2011,43956328.0,Completed,IVM + ALB,Ongoing,69,52.27272727272727,14320470,10912153,76.19968478688199,24.824987655929768,TZA
2011,6312745.0,Completed,IVM + ALB,Ongoing,14,100,6312745,5074218,80.3805317654998,80.3805317654998,SLE
2012,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2012,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2012,16779208.0,Completed,IVM + ALB,Ongoing,57,90.5,15348722,12437078,81.03005579226726,74.12196094118387,BFA
2012,14807685.0,Completed,IVM + ALB,Ongoing,26,100,14807685,11877822,80.21390244322458,80.21390244322458,MWI
2012,6067135.0,Completed,IVM + ALB,Not started,,,,,,,GIN
2012,108526381.0,In progress,IVM + ALB,Ongoing,154,No data,29882608,15815548,52.925594713821496,14.57299861496349,NGA
