Year,Population requiring PC for LF,Mapping status,Type of MDA,Current status of MDA,Number of IUs covered,Geographical coverage (%),Total population of IUs,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode
2021,19580369.0,Completed,IVM + ALB,Ongoing,4,4.2105263157894735,638099,494085,77.43077484841695,2.5233691969747865,MOZ
2021,139910337.0,Completed,IVM + ALB,Ongoing,118,21.572212065813527,20887810,19121169,91.54223922948361,13.66673071482917,NGA
2021,3979650.0,In progress,IVM + ALB,No MDA,0,0,0,0,0,0,AGO
2021,,,,Surveillance,,,,,,,MLI
2021,,,,Surveillance,,,,,,,BEN
2021,21200377.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,MDG
2021,,,,Surveillance,,,,,,,STP
2021,13185586.0,Completed,DEC + ALB,Ongoing,35,41.17647058823529,4643319,4876548,105.02289418409548,36.98393078623885,ZMB
2021,3021540.0,Completed,IVM + ALB,Ongoing,13,100,3021540,2162942,71.58409287978978,71.58409287978978,LBR
2021,6729162.377092907,Completed,IVM + ALB,Ongoing,29,35.80246913580247,2126081.741028118,1761919.8699999999,82.87169002015798,26.18,ETH
2021,4323890.0,Completed,IVM + DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2021,1089390.0,Completed,2 * ALB,Ongoing,2,100,103368,87947,85.08145654361118,50.39480810361761,COG
2021,358437.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2021,59799.0,Completed,IVM + ALB,Ongoing,1,100,59799,20189,33.761434137694614,33.761434137694614,CMR
2021,1941909.0,Completed,IVM + ALB,Ongoing,27,24.770642201834864,277243,232561,83.883452422604,11.975895883895692,GNB
2021,6389657.0,In progress,1 * ALB,Ongoing,11,68.75,2808793,2742180,97.62841191928348,76.96258187254809,CAF
2021,6389657.0,In progress,IVM + ALB,Ongoing,11,68.75,3006014,2175465,72.37042142850964,76.96258187254809,CAF
2021,1089390.0,Completed,1 * ALB,Ongoing,11,100,465706,377890,81.85877407859084,50.39480810361761,COG
2021,1693098.0,Completed,IVM + ALB,Ongoing,4,100,1693098,1255575,74.15843619211645,74.15843619211645,SLE
2021,5764573.0,Completed,IVM + ALB,Ongoing,10,29.411764705882355,1241032,1123495,90.52909191704968,19.489648235871073,SEN
2021,7920891.0,Completed,IVM + ALB,Ongoing,19,100,6680234,6130377,91.76889611950719,77.4,TZA
2021,1116519.0,Completed,IVM + ALB,Ongoing,11,100,1116519,778905,69.76191179908268,69.76191179908268,GHA
2022,2043809.0,Completed,IVM + ALB,Ongoing,8,100,2043809,1651955,80.82726908434203,80.8,BFA
2022,5564295.0,Completed,IVM + ALB,Ongoing,12,33.3,1630388,1285239,78.83025390275198,23.1,TCD
2022,,,,Surveillance,,,,,,,BEN
2022,6674768.0,Completed,IVM + ALB,Ongoing,20,10,6674768,5609629,84.04230678879027,84,TZA
2022,,Completed,DEC + ALB,Pending impact survey,,,,,,,ZMB
2022,,,,Surveillance,,,,,,,UGA
2022,,Completed,IVM + ALB,Surveillance,,,,,,,CMR
2022,407669.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2022,4105407.0,In progress,IVM + ALB,No MDA,0,0,0,0,0,0,AGO
2022,6389657.0,In progress,IVM + ALB,No MDA,0,0,0,0,0,0,CAF
2022,352247.9630296384,Completed,IVM + ALB,Ongoing,1,100,352248,266216,75.57629851695397,75.6,NER
2022,1114335.0,Completed,2 * ALB,Ongoing,13,100,564761,483955,85.69200068701628,55.4,COG
2022,1992894.0,Completed,IVM + ALB,Ongoing,54,49.5,733463,562458,76.68525883377893,28.2,GNB
2022,8352700.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,ZWE
2022,4214924.0,Completed,DEC + ALB,Ongoing,20,100,4214924,4077735,96.74516076683707,96.7,KEN
2022,8637776.0,Completed,IVM + ALB,Ongoing,13,54.2,3667966,3483940,94.98288697332528,40.3,GIN
2022,1114335.0,Completed,IVM + ALB,Ongoing,6,100,160843,133572,83.04495688342047,55.4,COG
2022,781981.0,Completed,IVM + ALB,Ongoing,8,100,781981,551739,70.55657362519038,70.6,GHA
2022,3415587.0,Completed,IVM + ALB,Ongoing,13,100,3415587,2490903,72.92752314609466,72.9,LBR
2022,567069.0,Completed,IVM + ALB,Ongoing,1,100,567069,541099,95.42031040314318,95.4,SLE
2022,375091.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2022,,,,Surveillance,,,,,,,STP
2022,3708905.3707729923,Completed,IVM + ALB,Ongoing,33,70.2,2554710.8059905907,1843701,72.1686773969355,49.7,ETH
2022,9198157.269300004,Completed,IVM + ALB,Ongoing,47,100,8441334.549100004,5211424,61.73696788922588,61.4,SSD
2022,22923380.0,Completed,DEC + ALB,Ongoing,40,53.2,9101686,6669842,73.28138984359602,34.5,MDG
2022,22923380.0,Completed,IVM + DEC + ALB,Ongoing,10,53.2,1568174,1239506,79.04135638009558,34.5,MDG
2022,9198157.269300004,Completed,1 * ALB,Ongoing,4,100,756822.7202,434093,57.357289681431,61.4,SSD
2022,45243848.0,Completed,1 * ALB,Ongoing,4,100,412205,404650,98.16717410026564,80.9,COD
2022,9998618.815808982,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,MOZ
2022,1679019.0,Completed,IVM + ALB,Ongoing,10,90.9,1554323,1177785,75.774790696657,70.2,CIV
2022,45243848.0,Completed,IVM + ALB,Ongoing,159,100,27650564,26317111,95.17748354066123,80.9,COD
2022,45243848.0,Completed,2 * ALB,Ongoing,55,100,9854511,9872237,100.17987701266964,80.9,COD
2022,138928998.30150232,Completed,IVM + ALB,Ongoing,455,86.5,119375412,84598467,70.86758117324864,60.9,NGA
2022,30358.0,Completed,DEC + ALB,Ongoing,1,100,30358,26688,87.91092957375322,87.9,ERI
2022,497754.0,Completed,IVM + ALB,Ongoing,3,100,497754,367013,73.73381228478326,73.7,SEN
2022,,,,Surveillance,,,,,,,MLI
2022,948512.0,Completed,1 * ALB,No MDA,0,0,0,0,0,0,GNQ
2023,,,,Surveillance,,,,,,,STP
2023,78844014.0,Completed,IVM + ALB,Ongoing,233,84.4,65572365,48364752.56,73.75782856085792,61.3,NGA
2023,2796796.0,Completed,IVM + ALB,Ongoing,7,100,2796796,1272258,45.48983908729846,45.5,LBR
2023,4323377.0,In progress,IVM + ALB,Ongoing,24,63.2,2855501,745267,26.099342987447738,17.2,AGO
2023,1788077.9999999998,Completed,IVM + ALB,Ongoing,7,100,1788077.9999999998,1393420,77.92836777813945,77.9,BFA
2023,,Completed,DEC + ALB,Pending impact survey,,,,,,,KEN
2023,,,,Surveillance,,,,,,,MLI
2023,,,,Surveillance,,,,,,,BEN
2023,914231.0,Completed,IVM + ALB,Ongoing,46,70.8,609208,391310,64.23257737915458,42.8,GNB
2023,21278009.0,Completed,IVM + DEC + ALB,Ongoing,25,100,5049572,4146143,82.1088005082411,76.3,MDG
2023,11551260.0,Completed,IVM + ALB,Ongoing,35,67.3,8806389,7418277,84.23744397391485,64.2,MOZ
2023,,Completed,DEC + ALB,Pending impact survey,,,,,,,ZMB
2023,21278009.0,Completed,DEC + ALB,Ongoing,58,100,16228437,12079665,74.43517203782471,76.3,MDG
2023,800477.0,Completed,IVM + ALB,Ongoing,7,100,800477,529561,66.15567967599318,66.2,GHA
2023,,Completed,IVM + ALB,Surveillance,,,,,,,CMR
2023,1139852.0,Completed,IVM + ALB,Ongoing,6,100,606712,123152,20.298263426469234,51.2,COG
2023,1139852.0,Completed,1 * ALB,Ongoing,13,100,1139852,460013,40.357256907037055,51.2,COG
2023,443284.0,Completed,IVM + ALB,Ongoing,1,100,443284,356242,80.36428113805145,80.4,CIV
2023,,,,Surveillance,,,,,,,UGA
2023,37986763.0,Completed,IVM + ALB,Ongoing,125,100,24985408,19667308,78.71517647420447,79.4,COD
2023,37986763.0,Completed,2 * ALB,Ongoing,60,100,13001355,10492227,80.7010269314237,79.4,COD
2023,407669.0,Completed,DEC + ALB,Surveillance,,,,,,,COM
2023,997308.0,Completed,2 * ALB,Ongoing,15,100,997308,221521,22.21189441977804,22.2,GNQ
2023,379571.0,Completed,IVM + ALB,Ongoing,1,100,379571,274078,72.20730772371967,72.2,NER
2023,75971.0,Completed,DEC + ALB,Ongoing,2,100,75971,54553,71.80766345052717,71.8,ERI
2023,4853283.0,Completed,IVM + ALB,No MDA,,,,,,,TCD
2023,9610780.0,Completed,IVM + ALB,Ongoing,36,70.6,7066599,4980281,70.47634937259069,51.8,SSD
2023,6999367.0,In progress,1 * ALB,Ongoing,5,53.1,1543562,1163534,75.37980333799355,40.5,CAF
2023,6999367.0,In progress,IVM + ALB,Ongoing,12,53.1,2828179,1673019,59.15534342062507,40.5,CAF
2023,3912185.0,Completed,IVM + ALB,Ongoing,40,85.1,3515268,2418452,68.79850981489889,61.8,ETH
2023,493233.0,Completed,IVM + ALB,Ongoing,1,100,493233,371530,75.32545470396344,75.3,SLE
2023,384580.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2023,3094046.0,Completed,IVM + ALB,Ongoing,7,38.9,1134351,909569,80.18408764130326,29.4,TZA
2023,5166873.0,Completed,IVM + ALB,Ongoing,12,85.7,4370677,3036941,69.48445286622645,58.8,GIN
2023,213409.0,Completed,IVM + ALB,Ongoing,1,100,213409,155263,72.75372641266301,72.8,SEN
2023,8352700.0,Completed,DEC + ALB,No MDA,,,,,,,ZWE
