Year,"Population requiring PC for STH, Pre-SAC",Number of Pre-SAC targeted,Reported number of Pre-SAC treated,"Drug combination, Pre-SAC","Programme coverage, Pre-SAC (%)","National coverage, Pre-SAC (%)","Population requiring PC for STH, SAC",Number of SAC targeted,Reported number of SAC treated,"Drug combination, SAC","Programme coverage, SAC (%)","National coverage, SAC (%)",CountryCode
2004,125200,144474.0,126326.0,Alb/Mbd, ,100.0,315470,112900.0,221591.0,Ivm+Alb, ,70.83658333866121,SWZ
2004,712226,1132158.0,935000.0,Alb/Mbd, ,100.0,1531195,1381928.0,240136.0,Ivm+Alb, ,15.682914325085962,TGO
2004,5214007,5695206.0,4962605.0,Alb/Mbd, ,95.1783340528695,10235517,1837406.0,1240877.0,"Ivm+Alb, Alb/Mbd", ,12.123246925387354,TZA
2004,659403,704355.0,694862.0,Alb/Mbd, ,97.74302405237252,1250312,1531834.0,242047.0,Mbd, ,19.35892801156832,SLE
2004,1195661,197000.0,175334.0,Alb/Mbd, ,14.43528475137512,2409986,758231.0,30718.0,Mbd, ,1.2746132135207424,GIN
2004,4273815,5375868.0,3211114.0,Alb, ,75.13460456290223,8258917,4475952.0,4800274.0,"Ivm+Alb, Pzq+Alb", ,58.12231797462064,UGA
2004,1643351,1999050.0,1174919.0,Alb/Mbd, ,71.49531658178928,3170682,242876.0,1685755.5,Ivm+Alb, ,53.931623014569716,ZMB
2004,2314963,3229541.0,3002474.0,Alb/Mbd, ,100.0,4845754,1011206.0,37657.0,Pzq+Mbd, ,0.7771133243660325,CIV
2004,2476062,190200.0,122902.0,Alb/Mbd, ,4.829492986149916,5432752,1716739.0,1187331.0,"Ivm+Alb, Alb/Mbd", ,21.85505614833881,GHA
2004,219914,198512.0,161085.0,Alb/Mbd, ,73.99708761501394,525154,458705.0,16728.0,Alb, ,3.185351344557977,LSO
2004,1917849,1615569.0,1684408.0,Alb/Mbd, ,84.84861917638193,3778877,3795722.0,389996.0,"Alb/Mbd, Pzq+Mbd", ,10.320420590561694,MWI
2004,1981183,2263696.0,2244182.0,Alb/Mbd, ,100.0,3614907,4396936.0,155421.0,Pzq+Alb, ,4.299446707757626,NER
2004,1886599,5680338.0,5581739.0,Alb/Mbd, ,100.0,3682039,440300.0,2857097.0,"Ivm+Alb, Pzq+Alb", ,77.59551161734028,BFA
2004,4139043,4722159.0,229963.0,Alb/Mbd, ,5.555946145038841,9981493,10484393.0,5038560.0,Ivm+Alb, ,100.0,ZAF
2004,504461,631586.0,504026.0,Alb/Mbd, ,98.04370111441148,1037979,542695.0,25536.0,Pzq+Alb, ,2.460165379068363,CAF
2004,191125,195549.0,159822.0,Alb/Mbd, ,80.14783685791514,365752,128428.0,124537.0,Alb/Mbd, ,34.04957457512194,GNB
2004,1018415,1963790.0,1712154.0,Alb/Mbd, ,100.0,2047554,226196.0,299562.0,Ivm+Alb, ,14.630236858222052,BEN
2004,1151958,1105847.0,883283.0,Alb/Mbd, ,74.61238067322223,2309939,3325950.0,2454947.0,Ivm+Alb, ,99.94333029765028,RWA
2004,18127250,2682472.0,4200000.0,Alb/Mbd, ,22.24922972636944,36283745,3260446.0,873800.0,Ivm+Alb, ,2.4082409354381693,NGA
2004,68705,79054.0,35758.0,Dec+Alb, ,52.04570264172913,144691,196889.0,103302.0,Dec+Alb, ,71.3949036222018,COM
2004,2321271,2976529.0,1681516.0,Alb/Mbd, ,70.80276050241481,4501674,1562296.0,1256067.0,Ivm+Alb, ,17.97,AGO
2004,8607623,10061869.0,8170761.0,Alb/Mbd, ,92.72390538957151,16367506,3455081.0,4997.0,Alb/Mbd, ,0.0305300025550624,COD
2004,1557143,2294407.0,2294407.0,Alb/Mbd, ,100.0,3166472,555348.0,153754.0,Alb/Mbd, ,4.855687970713147,MLI
2005,1958388,5680338.0,5581739.0,Alb/Mbd, ,100.0,3784324,440300.0,2938175.0,Ivm+Alb, ,77.64068298591769,BFA
2005,199348,271718.0,217374.0,Alb/Mbd,79.99985278855284,100.0,401394,19906.0,21000.0,Pzq+Mbd, ,5.231767290990897,GMB
2005,1489726,1705654.0,1725845.0,Alb/Mbd,101.1837688065692,100.0,3112876,1537264.0,269945.0,Pzq+Mbd, ,8.671884135442594,SEN
2005,No PC required,5680338.0,5581739.0,Alb/Mbd, ,100.0,3784324,440300.0,2295557.0,Pzq+Alb, ,60.65963168058549,BFA
2005,440409,714319.0,570085.0,Alb/Mbd,79.80818093876826,100.0,891422,9601.0,105000.0,Ivm+Alb, ,11.328828415722688,LBR
2005,855461,1151156.0,251810.0,Alb, ,29.43559086854924,1971622,1451954.0,2161695.0,Alb, ,100.0,BDI
2005,4653083,2345105.0,121323.0,Dec+Alb, ,2.6073680611328016,9367473,4187694.0,415440.0,"Dec+Alb, Pzq+Alb", ,4.434920709138954,KEN
2005,722691,1132158.0,1092556.0,Alb,96.50207833182294,100.0,1560429,1381928.0,250228.0,Ivm+Alb, ,16.035846552454487,TGO
