,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
29,Brazil,BRA,73.1287988328203,74.0379078842192,74.9279834778336,75.8126402714995,76.6915371557584,77.5647914194703,78.4329110515648,79.2959780376904,80.154078978513,81.0065268837533,81.854207204088,82.7005761863484,83.5422241377624,84.3785142207398,85.2106414441147,86.0379594237602,86.8602432937162,87.6779592819379,88.4905439034498,89.298795927984,90.0784764801568,90.8109852394536,90.8834993687823
30,Barbados,BRB,88.8534902197376,89.3536190555618,89.8537478913859,90.35387672721,90.8540055630342,91.3541343988583,91.8542632346825,92.3543920705066,92.8545209063307,93.3546497421548,93.854778577979,94.3549074138031,94.8550362496273,95.3551650854515,95.8552939212757,96.3554227570998,96.855551592924,97.2793784985907,97.2834997978144,98.0924623115578,98.0924623115578,98.0924623115578,98.0924623115578
31,Brunei Darussalam,BRN,72.7148465774726,73.9314819787646,75.1481173800566,76.3647527813482,77.5813881826402,78.7980235839323,80.0146589852238,81.2312943865159,82.4479297878079,83.6645651890999,84.8812005903915,86.0978359916835,87.3144713929755,88.5311067942671,89.7477421955591,90.9643775968511,92.1810129981427,93.3976483994347,94.6142838007268,95.8309192020188,97.0475546033103,98.2641900046024,99.4808254058944
32,Bhutan,BTN,46.9049420148629,47.2601457118494,49.1547421492926,51.0165270702967,52.844198299812,54.6241930830264,56.2695823363996,57.8890069731265,59.4818938821528,61.0687309500426,62.6289580941062,64.1622239029782,65.6661456957171,67.140887988373,68.5868506524737,70.0045782225333,71.3945411475057,72.7572881553915,74.0934493170047,75.403670277365,76.6885643387189,77.9488578507004,77.9400742382936
33,Botswana,BWA,51.9161128230796,53.3312371934366,54.6351373300919,55.9306253316382,57.2354398758653,58.5484651662334,59.8707817877325,61.6023323152472,63.3424578727978,65.0869031781855,66.8374083076875,68.5923179945414,70.1498597100217,71.6801447936656,73.2176947943605,74.7620657947833,76.0173129165427,77.2692231997295,78.5138974205166,79.751688865621,80.026238683341,80.2922288193525,80.5508168196432
34,Central African Republic,CAF,20.5939673265979,20.5472815173527,20.5005931077099,20.4536056364778,20.40631886511,19.9721489886999,19.5450444000148,19.1248922472729,18.7110296424231,18.3030851796557,17.9009514050434,17.504011935079,17.1121604556915,16.7250416362785,16.3420826919898,15.9631874719448,15.5882420568199,15.2164875035595,14.847835432135,14.4819824288711,14.1186346735747,13.7575067532956,13.8462938417752
35,Canada,CAN,99.8666821077475,99.868836370374,99.8693423385411,99.8698578955467,99.870363930459,99.8639633593088,99.8430141586711,99.7607594665167,99.6782744503742,99.5955579339671,99.5126201247374,99.4293799049063,99.3455538928115,99.2616789369925,99.177750681856,99.0937756062702,99.0097512478276,98.9256765118876,98.8415415919231,98.7573271465461,98.6730053902748,98.5885660943908,98.5883581968614
36,Central Europe and the Baltics,CEB,91.7037822837739,88.4078783698504,88.7130261904323,88.9835500339954,89.25054609506,89.5232763219652,89.9659800230756,90.4344409444935,90.9071522761671,91.3562937471283,91.7922086958218,92.2270759445641,92.6512287161745,93.0707349696164,93.491385506179,93.940518555361,94.3948028023464,94.7487041161734,95.0000793401091,95.1918740492267,95.3786862065455,95.5314369914223,95.6171025649126
37,Switzerland,CHE,99.8809710847145,99.8809686941122,99.8809824980631,99.8810046485801,99.8810190736568,99.8810399898821,99.8810610841324,99.8810752621757,99.8810926001485,99.8811096720377,99.8811285661122,99.8840035898045,99.8868721958477,99.8897331821113,99.8925889720649,99.895441126539,99.8982954640727,99.8998737205154,99.8998745805806,99.899872396117,99.8998713422797,99.8998738850558,99.8998758338064
39,Chile,CHL,92.2438518731679,92.794465210687,93.3238349042848,93.8031360829364,94.2806647717969,94.7557878713234,95.2291336312297,95.7003393538926,96.1697322571176,96.637017176338,97.102236534404,97.5656331122127,98.0270041806951,98.4864536789725,98.9439888188306,99.3658906079959,99.6665202826245,100.0,100.0,100.0,100.0,100.0,99.9999982963226
40,China,CHN,56.8201112825324,57.5684585923258,59.7190892301783,61.8436133436577,63.9406211866297,66.007415268661,68.0323494379767,70.0209795374,71.9796256382187,73.906056089948,75.801047562911,77.6512534109342,79.464668205991,81.2467982370502,82.9984788355712,84.7193140289753,86.4094766696777,88.068308924773,89.6942179411797,91.2881365395444,92.8514970076321,94.385756597916,95.8923614069453
41,Cote d'Ivoire,CIV,20.683503003502,21.2855190678722,21.8879803598737,22.4905747331287,23.0936137803389,23.818461396621,24.5514184482042,25.2923605973269,26.0411623083941,26.7970814130263,27.5606050351637,28.3316063644831,29.1096545103652,29.894622861839,30.6863860760485,31.4875187108368,32.2972577718512,33.115740904564,33.9428009638578,34.7779674572536,35.6210684573158,36.2910379646523,36.9620839390068
42,Cameroon,CMR,38.2963191886427,38.3301303382151,38.3674033125202,38.59076542374,38.8160973579278,39.042535815984,39.2707706827341,39.5008711555613,39.7329093241941,39.9666331909279,40.2024295671356,40.4400396496545,40.679527922419,40.9206144735396,41.16335571391,41.4078037782764,41.6540121133768,41.9013320538743,42.1505011655075,42.4008580058119,42.6527994756676,42.9056321489974,43.119165338496
43,"Congo, Dem. Rep.",COD,23.7477301582402,23.2925769390313,22.8409802290181,22.392974466149,21.9485955381886,21.5079475709645,21.0891378494807,20.6788066870991,20.2769264617238,19.8835864068139,19.4987268908352,19.1224516966063,18.7546676228376,18.3953627320994,18.044594711176,17.7022826880082,17.3684019576228,17.0428366780056,16.7256344876716,16.4166624601584,16.1158647638764,16.146171281979,16.1744725542393
44,"Congo, Rep.",COG,11.9201110505529,11.9684716643306,12.2942565476214,12.6236774657936,13.0815252399964,13.5511103750175,14.032535254429,14.5260420328821,15.0320394097892,15.5506898875387,16.0823109686403,16.6267536896129,17.1843319776117,17.7552084286539,18.3393599953142,18.9369277755163,19.5480531851066,20.1728786215665,20.2685712894315,20.3642631107744,20.459745939771,20.5548102087559,20.5548102087559
45,Colombia,COL,75.4237027446631,76.3209690547615,77.2165816983729,78.1105144810919,79.0025604937672,79.8927082484828,80.7809581807122,81.6671233440099,82.5514083234022,83.4338012855543,84.314142164482,85.1924601803427,86.0689202628907,86.9433990132741,87.8159017312967,88.6866119402668,89.5555442261651,90.4225796256359,91.2877514825982,92.151091537794,93.0127700372276,93.8726777763574,94.7309784385239
46,Comoros,COM,29.2036888401516,30.4360322594528,31.0518318596718,31.6201289990803,32.1413169353801,32.6181080742434,33.0502370446673,33.4374468041965,33.7793067711292,34.0757324816563,34.3266154418974,34.5313813628435,34.6899269606426,34.802124546897,34.8674297281274,35.8152661023519,35.8348906522207,35.8566241481776,35.8804627544981,35.9066757549833,35.9066757549833,35.9066757549833,35.9066757549833
47,Cabo Verde,CPV,36.8279530117996,39.1910563286688,41.5375089977973,43.8664098956885,46.1784732946656,48.4726015407377,50.7498012152059,53.0093492318719,55.2522001426227,57.4769273640947,59.6818525468582,61.8006551686033,63.9530692607862,66.0992441827563,68.2388839996908,70.3717075171588,72.4969280062987,74.6142564437254,76.7237252974541,78.8249564795012,80.9181458305802,83.0030900897812,83.0453032676674
48,Costa Rica,CRI,93.6880568867232,93.9266211777237,94.1582854576318,94.3830783570755,94.6008968531799,94.8115543367313,95.015385531609,95.2123537998796,95.4026651772125,95.6665594679328,95.9220323752263,96.1690382840474,96.4067319723308,96.6355955226859,96.856159062387,97.0690171918129,97.2746816843716,97.4736100326772,97.666308228442,97.8532216953258,98.0348093858864,98.2114664908238,98.3836215500599
49,Caribbean small states,CSS,80.9856526398298,81.4798096267947,81.9740406234713,82.4628104697472,82.963801161711,83.5262321025027,84.0883795458886,84.6510070364955,85.2131061729018,86.1175965796616,86.663472390657,87.1822722873412,87.7000918661803,88.1862464862654,88.6440017362296,89.0690157395965,89.4528006888502,89.8301473705717,90.2597757187787,90.6864306076337,90.3638371283281,90.5735188091483,90.7810743345415
