CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
COM,29.2036888401516,30.4360322594528,31.0518318596718,31.6201289990803,32.1413169353801,32.6181080742434,33.0502370446673,33.4374468041965,33.7793067711292,34.0757324816563,34.3266154418974,34.5313813628435,34.6899269606426,34.802124546897,34.8674297281274,35.8152661023519,35.8348906522207,35.8566241481776,35.8804627544981,35.9066757549833,35.9066757549833,35.9066757549833,35.9066757549833
CPV,36.8279530117996,39.1910563286688,41.5375089977973,43.8664098956885,46.1784732946656,48.4726015407377,50.7498012152059,53.0093492318719,55.2522001426227,57.4769273640947,59.6818525468582,61.8006551686033,63.9530692607862,66.0992441827563,68.2388839996908,70.3717075171588,72.4969280062987,74.6142564437254,76.7237252974541,78.8249564795012,80.9181458305802,83.0030900897812,83.0453032676674
DZA,84.4808303267888,84.7599276450493,85.0328073593515,85.2991644625783,85.5590709673942,85.8122609306772,86.0591315025692,86.299440005349,86.5335680761237,86.7594853651133,86.9781332130706,87.1892375803685,87.0935397027506,86.9868765719694,86.8698424356598,86.7425206949109,86.6054829474466,86.4588237816513,86.303094189528,86.1385043463065,85.9654695730295,85.7843012451086,85.8262893978246
ERI,8.28530044207824,8.64047942200959,8.98629582134225,9.32208585596108,9.64744725375952,9.96153547102589,10.2644175947139,10.5550787915381,10.8337736915036,11.0220410741386,11.2019449777584,11.3735399803252,11.5365169297833,11.6362700513655,11.7366811006634,11.8379122916262,11.9399656246299,11.9399656246299,11.9399656246299,11.9399656246299,11.9399656246299,11.9399656246299,11.9399656246299
ETH,2.79389711000458,3.09531157596367,3.39684063568474,3.69805219630623,4.0092482931609,4.31644032463521,4.61983246123029,4.92163262678547,5.24481811104458,5.56530539724539,5.88367348842843,6.19978430281278,6.51408999312917,6.82389059062955,7.1320081780504,7.43845438341403,7.74355073772014,8.0471575170489,8.34992303821713,8.65203916056794,8.95353751323462,9.25478025646195,9.33621609876944
GAB,33.9814209305903,34.9372077021017,35.903728174477,36.8809317826105,37.8687985305349,38.8672363599809,39.8763535875598,40.8960393496484,41.9263968042466,42.9671451534089,44.0184608469988,45.0801946872977,46.1524575071287,47.2348995593806,48.3267109980033,48.6194365134982,48.9116241513096,49.2033085922007,49.4944290499849,49.7848246840842,49.8241656819812,49.8612671247622,49.8962345236713
GHA,6.24573244330994,6.34852886366336,7.23251503810142,8.13639297693297,9.05994534742738,10.0024406425603,10.9638541974486,11.9437515914647,12.9418000356966,13.9573276526153,14.9904419527654,16.0404640405783,17.1069348843732,18.1892648687887,19.2871057808726,20.40010793503,21.5279300969224,22.670108563914,23.8263073809595,24.9960729195517,26.179198602453,27.3752434132951,28.5838871671897
GIN,9.16230647249202,9.88629181042133,10.6114420869886,11.3379453382088,12.2068743325124,13.095035144878,14.0026335732946,14.9294877692958,15.8756067228174,16.841000124284,17.8258881812328,18.8300747464885,19.8535692875928,20.8963805793729,21.9585172286295,23.0429536885135,24.1498388471999,25.2793160046836,26.4315350914217,27.606397594017,28.8045337728005,30.0258480711338,31.2707417142027
GMB,51.0627051437066,49.9139762488768,48.7879531144786,47.7243145471678,46.6954259623673,46.5783414060291,46.4862599534796,46.4185278485547,46.3744961350565,46.3534895570565,46.3547751187486,46.3775404309418,46.4212039686368,46.4844349819106,46.5660269049022,46.6646753535046,46.7787649612216,46.907216138854,47.0485300098961,47.2014093324921,47.364575636903,47.53641750078,47.7159921427543
GNB,4.16112693122669,4.64521105092543,5.13883109844991,5.64179288235145,6.54981932752754,7.66562389299126,8.79675509070874,9.94309395424926,11.1050118138525,12.2823572765206,13.4760634593862,14.6859905747985,15.9125580822648,17.1557987744749,18.4161430412753,19.6938380286064,20.9889037650551,22.3015666963327,23.6322998602978,24.9811064482039,26.3482236537259,27.7338884299736,27.8438185893828
