Year,"Population requiring PC for STH, Pre-SAC",Number of Pre-SAC targeted,Reported number of Pre-SAC treated,"Drug combination, Pre-SAC","Programme coverage, Pre-SAC (%)","National coverage, Pre-SAC (%)","Population requiring PC for STH, SAC",Number of SAC targeted,Reported number of SAC treated,"Drug combination, SAC","Programme coverage, SAC (%)","National coverage, SAC (%)",CountryCode
2022,,,,,,,1696324,721759.0,688699.0,Pzq+Alb,95.4195236914261,89.46,GIN
2022,No PC required,,,,,,No PC required,498796.0,644969.0,Ivm+Alb,129.30516684175495,,BFA
2022,4006478,3489021.0,1304242.1942365267,Mbd,37.3813225611576,19.4,9665688,8417312.0,3097695.8057634723,Mbd,36.80148491303961,18.9,ZAF
2022,979826,,,,,,1696324,1328056.0,1278729.0,Ivm+Alb,96.28577409386351,89.46,GIN
2022,449649,,,,,,889730,143502.0,169848.0,Ivm+Alb,118.35932600242505,0.0,SEN
2022,14055,,,,,,39043,,,,,,GMB
2022,,,,,,,582465,58099.0,43426.0,Pzq+Alb,74.74483209693798,84.59,LBR
2022,41678,41678.0,25605.0,Alb,61.43528960122847,61.44,101376,101376.0,58448.0,Alb,57.65467171717171,57.65,CPV
2022,No PC required,,,,,,No PC required,182770.0,135176.0,Ivm+Alb,73.95962138206488,,GHA
2022,261357,1367295.0,1158924.0,Alb,84.76034798635261,98.2,707893,3434507.0,3155607.0,Alb,91.87947498723979,97.8,BDI
2022,363699,,,,,,825348,153109.0,177993.0,Ivm+Alb,116.25247372786707,98.75,SLE
2022,,,,,,,825348,2024577.0,1877616.0,Alb,92.7411503736336,98.75,SLE
2022,26833,17828.0,16104.0,Alb/Mbd,90.32981826340588,60.02,57155,38545.0,36226.0,Alb/Mbd,93.98365546763523,63.38,STP
